146   J0426+4933       66.528387     49.560683
147   J0435+2749       68.965908     27.817139
148   J0437-4715       69.316234    -47.252531
149   J0447-04         71.750000     -4.583333
150   J0448-2749       72.173198    -27.829649
151   J0449-7031       72.273625    -70.525472
152   J0450-1248       72.536588    -12.801972
153   J0451-67         72.958333    -67.300000
154   J0452-1759       73.142107    -17.989825
155   J0453+1559       73.439224     15.989252
156   J0454+5543       73.532294     55.728177
157   J0455-6951       73.948125    -69.859528
158   J0456-69         74.125000    -69.166667
159   J0456-7031       74.010417    -70.518500
160   J0457+23         74.275000     23.566667
161   J0457-6337       74.282458    -63.625111
162   J0457-69         74.258333    -69.766667
163   J0458-0505       74.654671     -5.084750
164   J0458-67         74.745833    -67.716667
165   J0459-0210       74.966422     -2.168509
166   J0501+4516       75.278167     45.276089
167   J0502+4654       75.519004     46.901692
168   J0502-6617       75.710542    -66.299667
169   J0509+08         77.350000      8.950000
170   J0510+38         77.495833     38.200000
171   J0511-6508       77.985417    -65.143472
172   J0514-4002A      78.527886    -40.046916
173   J0514-4407       78.716000    -44.118472
174   J0517+2212       79.321446     22.214417
175   J0519+44         79.750000     44.000000
176   J0519+54         80.000000     54.416667
177   J0519-6932       79.945487    -69.539856
178   J0520-2553       80.150772    -25.886748
179   J0521-68         80.433333    -68.583333
180   J0522-6847       80.596083    -68.783944
181   J0525+1115       81.485201     11.255300
182   J0525-6607       81.503750    -66.076750
183   J0528+2200       82.217767     22.001111
184   J0529-6652       82.462167    -66.877278
185   J0532-6639       83.247958    -66.660361
186   J0532-69         83.016667    -69.766667
187   J0533+0402       83.357583      4.033472
188   J0533+67         83.250000     67.000000
189   J0534+2200       83.633221     22.014461
190   J0534-6703       83.650708    -67.063556
191   J0535-66         83.916667    -66.866667
192   J0535-6935       83.750000    -69.583333
193   J0536-7543       84.128292    -75.732417
194   J0537-69         84.429167    -69.350000
195   J0537-6910       84.447567    -69.172189
196   J0538+2817       84.604405     28.285878
197   J0540+3207       85.154650     32.127028
198   J0540-6919       85.046675    -69.331714
199   J0540-7125       85.128333    -71.425389
200   J0542-68         85.645833    -68.266667
201   J0543+2329       85.790250     23.484722
202   J0543-6851       85.969625    -68.857028
203   J0544+20         86.050000     20.833333
204   J0545-03         86.250000     -3.166667
205   J0546+2441       86.619833     24.689167
206   J0550+09         87.616667      9.850000
207   J0554+3107       88.520875     31.128056
208   J0555+3948       88.750000     39.800000
209   J0555-7056       88.757708    -70.946000
210   J0557+1550       89.381038     15.835013
211   J0557-2948       89.387498    -29.804668
212   J0600-5756       90.193750    -57.948333
213   J0601-0527       90.495759     -5.464044
214   J0605+37         91.250000     37.000000
215   J0608+00         92.204167      0.650000
216   J0609+2130       92.495359     21.500789
217   J0610-2100       92.556648    -21.007759
218   J0610+37         92.750000     37.300000
219   J0611+04         92.825000      4.100000
220   J0611+1436       92.827704     14.614444
221   J0611+30         92.816667     30.266667
222   J0612+3721       93.202861     37.360377
223   J0613-0200       93.433233     -2.013120
224   J0613+3731       93.300625     37.527306
225   J0614+2229       93.571500     22.510000
226   J0614-3329       93.543116    -33.498366
227   J0614+83         93.500000     83.233333
228   J0621+0336       95.296754      3.612644
229   J0621+1002       95.342143     10.044093
230   J0621+25         95.250000     25.000000
231   J0621-55         95.175000    -56.083333
232   J0622+3749       95.543792     37.820444
233   J0623+0340       95.944829      3.668556
234   J0624-0424       96.083451     -4.414015
235   J0625+10         96.437500     10.266667
236   J0627+0649       96.973452      6.831703
237   J0627+0706       96.934237      7.103528
238   J0627+16         96.804167     16.200000
239   J0628+0909       97.150762      9.153861
240   J0629+2415       97.273867     24.262028
241   J0630-0046       97.612317     -0.768292
242   J0630+19         97.516667     19.616667
243   J0630-2834       97.705852    -28.578550
244   J0631+0646       97.968250      6.770611
245   J0631+1036       97.864683     10.617361
246   J0633+0632       98.434208      6.543028
247   J0633+1746       98.475637     17.770252
248   J0633-2015       98.286917    -20.251972
249   J0635+0533       98.825000      5.553056
250   J0636-4549       99.140600    -45.825728
251   J0636+5129       99.020197     51.483324
